"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02"
"Maryland",19,239000,239900,239900,245000,239900,239000,232000,229000,237500,235000,234928,225000,219900,219900,224900,225000,229000,234900,234900,234900,229900,229900,225000,225000,225000,225000,229000,224900,209900,239000,235000,234900,229900,229900,242000,237000,236000,239900,249000,250000,260000,269000,265000,261000,264500,263500,255000,259900,250000,254000,259990,269900,275000,275000,274900,269900,269900,266000,259900,250000,249900,250000,259900,265000,270000,270000,265000,269000,270000,265000,260000,255000,255900,255000,269000,279900,285000,285000,280000,279000,279900,279900,279500,269990,269000,273000
"Wisconsin",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144900,149000,149900,149900,154900,159900,159900,159900,159900,159000,157500,150000,149900,149900,149900,154800,159000,159900,164900,164900,164900,164500,162000,159900,158900,157500,159900,160000,164900,169900,169900,169900,169900,169900,169000,166000,164900,164900,164900,169000,170000,176990,179000,179900,179000,175000,175000,174900,170000,169900,172900
"Minnesota",21,164500,164900,167700,168700,168000,169900,164900,164900,179000,169900,169000,159900,154900,153900,150000,149900,153500,149900,149900,149900,149900,144900,139900,130000,129900,129900,129994.5,134900,134900,137900,137500,136900,138975,144900,164900,159900,160000,168000,170000,175000,179900,184900,184900,184900,185000,185000,179900,179900,175000,182630.5,189900,195000,199900,204900,2e+05,199900,199900,199900,199900,195000,197500,199900,210000,214900,219900,220700,220000,219900,219900,219000,214900,210000,214888,215000,224900,225000,225000,225000,225000,224900,224900,224900,224900,220000,215000,229900
"Colorado",22,239900,239000,239000,239900,240000,244900,244900,249000,249900,232900,220000,215000,214900,210000,207500,209000,216000,219900,225000,225000,222000,215000,209900,199900,199900,206000,210000,214306,219000,219900,220000,219900,215900,219000,252842,250000,250000,255000,259900,268500,274900,276000,279900,281000,288950,282950,284500,289000,289000,294500,299000,299900,302690,310000,310000,310000,314900,315000,319000,324000,329900,326155,329900,338000,339900,344900,348000,345000,349500,349000,349000,350000,358017.5,355000,359900,364900,368000,369900,365700,365000,369000,365000,365000,367000,369900,376500
"Alabama",23,167500,169000,167000,164990,165900,164995,164900,159900,164900,159900,158000,154900,152000,150000,150000,150000,150000,152900,153900,149900,149900,149900,149900,149900,149900,149900,149900,149000,143900,149000,149900,149900,148900,149900,159900,159500,159550,159900,160000,164900,165225,165000,165000,165000,165000,164900,162000,162000,159900,164900,168900,169900,169900,170000,170471,169900,169900,169000,169900,163900,168500,169900,169900,174900,173700,174850,170000,169950,174900,170000,169900,169900,169900,169000,169900,175000,175000,175900,175000,174900,174900,172900,174094.5,172000,173000,174900
"South Carolina",24,183738.5,181650,179900,179900,176999.5,175000,174900,174500,179900,175000,170000,169900,166167,163900,164900,164500,159900,164900,159900,149886.5,139900,139900,134900,149500,144900,148500,149900,147900,148970,148500,145900,145000,142900,145000,168500,169000,169750,169990,173900,175000,175000,179000,179000,179500,179500,179900,179000,179900,179900,180000,185000,187130,189500,189900,189900,188500,189900,189900,191900,189999,189900,192900,194900,199700,199900,199900,205000,2e+05,205000,205000,208925,209873,209900,212900,216990,218900,219000,219900,220000,218000,218000,218500,219000,216018,215000,219000
"Louisiana",25,170000,169900,170000,171500,170000,170000,169900,169900,172000,168500,165000,163500,155900,153800,155000,154000,152000,149900,149900,149900,149000,147500,148500,147500,148000,149000,149900,149900,149900,150000,150000,149900,149500,149900,160000,159900,162150,162500,165000,168900,169500,169900,169000,167900,168000,167500,165000,165000,163900,165000,165000,168900,169900,170000,170000,174900,174900,174900,175000,174000,175000,176900,178900,179900,180832,182500,181900,182000,184700,182250,183500,184000,185000,189000,191000,197500,198500,198900,198500,197000,195000,196500,195000,195000,193000,190500
"Kentucky",26,148950,148500,148842.5,149900,149900,149900,149500,148500,149500,145000,142900,139900,138500,137900,135900,137900,139000,135000,129950,134900,134900,132900,131337.5,129900,129000,129900,129900,129900,129900,129900,129900,129500,125000,125000,139900,139000,139000,139000,139900,139995,142500,142000,142000,139900,139900,139900,139900,139900,139000,139900,142900,147500,149500,149900,149900,149900,149900,149900,149900,149000,149000,149900,149900,154900,159000,159900,159800,159000,159500,157900,156000,153900,150000,150000,154900,159900,162000,164900,165000,162500,161900,162000,160780,159900,159900,160000
"Oregon",27,216563,215000,218500,215000,212900,219000,218900,217900,219900,203700,197500,189900,179900,179900,186375,175000,173500,174900,179500,185000,184500,179900,174900,165000,169900,175000,179900,184900,184900,189000,189900,199900,202900,214900,227350,227000,229000,230000,238500,245000,249900,255000,257475,254900,254000,253900,250000,249900,249500,249900,250000,259900,259000,265000,269500,269000,265000,259950,259950,259000,259900,262990,269500,272950,277000,279900,279950,281000,285000,289000,289000,285000,285000,289000,295000,299900,309900,315000,319900,319900,319950,320000,319900,319000,319000,320000
"Oklahoma",28,135900,137500,135000,134900,134900,135000,133500,132325,136500,135900,137400,134900,129900,128500,129500,128900,128000,128000,127463.5,125000,124500,121900,120000,119900,119750,121900,125000,122500,125000,127500,124444,120000,118900,118500,138000,137000,136900,139669,139900,140000,141900,144900,142000,140000,142000,143696,141548,144000,142500,144900,145000,148900,149900,149900,149947.5,150000,149900,149900,150000,149000,151000,154900,155000,157000,159000,159000,159900,159500,159900,159900,159900,159900,160000,159900,163000,165000,167400,169500,169900,169900,169900,169500,169900,170000,169900,169900
